	Category	Freq	Percentage
0	Quan điểm - Tranh luận	526	0.3975812547241119
1	Truyền cảm hứng	245	0.18518518518518517
2	Chuyện trò - Tâm sự	137	0.10355253212396069
3	Kỹ năng	99	0.07482993197278912
4	Science2vn	96	0.07256235827664399
5	Khoa học - Công nghệ	80	0.06046863189720333
6	Sách	26	0.019652305366591082
7	Sự kiện Spiderum	22	0.016628873771730914
8	Truyện ngắn	21	0.015873015873015872
9	Phim	13	0.009826152683295541
10	Sáng tác	12	0.009070294784580499
11	English Zone	8	0.006046863189720333
12	Âm nhạc	6	0.0045351473922902496
13	Hỏi đáp vu vơ	6	0.0045351473922902496
14	Tranh luận	6	0.0045351473922902496
15	Du lịch - Ẩm thực	6	0.0045351473922902496
16	Chia sẻ kiến thức	3	0.0022675736961451248
17	Game	3	0.0022675736961451248
18	Nghĩ gì xả nấy	3	0.0022675736961451248
19	Otakulture	3	0.0022675736961451248
20	Điểm tin	1	0.0007558578987150416
21	Comics	1	0.0007558578987150416
